﻿Stedtype;StedID;Stedtekst;GeoZone;x-koordinat;y-koordinat;Kommune;Region;Medie;Vandområde;Dato;Måling nr;Undersøgelsestype;Teknisk anvisning;Dataejer;Link;Målested navn;Målested GeoZone;Målested, x-koordinat;Målested, y-koordinat;Dybdemåling nr;Startdato;Bunddybde (m);Sigtdybde (m);Springlag;Springlag startdybde (m);Springlag slutdybde (m);Sigt til bund;Højdereference;Referencekote (m);Målt vandstand (m);Vandstandskote (m);Kvalitetsmærke
Station;64000017;RØGBØLLE SØ, SYDB HOVED ST;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;07-05-1996;1;Måledybder, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7563d74c-6ac0-4ea2-86ad-d88b3e66153b;Aktivitetssted;32;666003;6065651;1;07-05-1996 07:00:00 +02:00;2,6;1,55;;;;Nej;DNN;9999999;9999988,310000239;10,68999976105988;2
Station;64000239;Røgbølle;32;664937;6067429;Lolland;Region Sjælland;Sø;Røgbølle Sø;11-08-1998;1;Måledybder, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/78383a21-245c-4e98-a158-8b4fa392f7aa;Aktivitetssted;32;664937;6067429;1;11-08-1998 12:05:00 +02:00;9999;1,15;;;;Nej;;;;;2
Station;64000239;Røgbølle;32;664937;6067429;Lolland;Region Sjælland;Sø;Røgbølle Sø;10-09-2002;1;Måledybder, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c4d00f28-8443-4165-b01a-296cbbd879e8;Aktivitetssted;32;664937;6067429;1;10-09-2002 12:15:00 +02:00;9999;2;;;;Nej;;;;;2
Station;64000016;RØGBØLLE SØ, NORDB;32;665547;6067368;Lolland;Region Sjælland;Sø;Røgbøllesø;18-09-1989;1;Måledybder, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/788c8b42-8349-4066-af59-7e952716f4fd;Aktivitetssted;32;665547;6067368;1;18-09-1989 13:00:00 +02:00;2;2;;;;Ja;;;;;2
Station;64000017;RØGBØLLE SØ, SYDB HOVED ST;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;19-07-1989;1;Måledybder, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d248db58-9f3c-4429-a0c6-105b7c26d822;Aktivitetssted;32;666003;6065651;1;19-07-1989 11:45:00 +02:00;2,9;1,25;;;;Nej;;;;;2
Station;64000017;RØGBØLLE SØ, SYDB HOVED ST;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;11-05-1993;1;Måledybder, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/0612f38d-b54a-4c50-99c4-08735a575cc0;Aktivitetssted;32;666003;6065651;1;11-05-1993 11:40:00 +02:00;2,7;1,3;;;;Nej;;;;;2
Station;64000239;Røgbølle;32;664937;6067429;Lolland;Region Sjælland;Sø;Røgbølle Sø;12-08-2003;1;Måledybder, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/b40c4850-7961-46a3-8c8d-13b368b3c888;Aktivitetssted;32;664937;6067429;1;12-08-2003 10:45:00 +02:00;3,2;3,1;;;;Nej;;;;;2
Station;64000017;RØGBØLLE SØ, SYDB HOVED ST;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;12-11-2002;1;Måledybder, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/08d9d3f9-7046-499b-bcc8-484245d1eab4;Aktivitetssted;32;666003;6065651;1;12-11-2002 09:55:00 +01:00;3,4;3,2;;;;Nej;DNN;9999999;9999988,150000243;10,849999757483602;2
Station;64000017;RØGBØLLE SØ, SYDB HOVED ST;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;19-04-1990;1;Måledybder, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/effa2bc5-89fa-4086-8b63-f06849d92e16;Aktivitetssted;32;666003;6065651;1;19-04-1990 11:50:00 +02:00;3;1,5;;;;Nej;;;;;2
Station;64000017;RØGBØLLE SØ, SYDB HOVED ST;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;13-04-1987;1;Måledybder, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/56ed7fcb-50bd-488a-9c63-3b66da950a71;Aktivitetssted;32;666003;6065651;1;13-04-1987 13:20:00 +02:00;1,6;1,6;;;;Ja;;;;;2
Station;64000016;RØGBØLLE SØ, NORDB;32;665547;6067368;Lolland;Region Sjælland;Sø;Røgbøllesø;25-10-1989;1;Måledybder, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/60cfdfb4-3eb6-4b94-954d-2420f360e93c;Aktivitetssted;32;665547;6067368;1;25-10-1989 13:00:00 +01:00;2,35;2,35;;;;Ja;;;;;2
