﻿Stedtype;StedID;Stedtekst;Referencer;GeoZone;x-koordinat;y-koordinat;Kommune;Region;Medie;Vandområde;Dato;Måling nr;Undersøgelsestype;Teknisk anvisning;Dataejer;Link;Målested navn;Målested GeoZone;Målested, x-koordinat;Målested, y-koordinat;Prøvetagning;Prøve;Prøvetype;Dybde (m);Faktiske dybder (m);Delprøve;Analysefraktion;CASnr;ScKode;Stofparameter;Resultat-attribut;Resultat;Enhed;Detektionsgrænse LD;Kvantifikationsgrænse LQ;Kvalitetsmærke
Station;64000017;RØGBØLLE SØ, SYDB HOVED ST;54.35.10, STO54.35.10, 62;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;04-09-1995;1;Vandkemi, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/0ae3822e-b543-4fc5-9572-e580ec91c05a;Aktivitetssted;32;666002,9998601868;6065651,003811634;1;1;Blandingsprøve;0,8333333333333334;"1,5; 0,8; 0,2";1;Total;;1038;Chlorophyl A; =;28;µg/l;9999999;;2
Station;64000017;RØGBØLLE SØ, SYDB HOVED ST;54.35.10, STO54.35.10, 62;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;01-07-1996;1;Vandkemi, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/496246fa-41f1-4ef3-8f46-bc46a657b1a3;Aktivitetssted;32;666002,9998601868;6065651,003811634;1;1;Blandingsprøve;0,8333333333333334;"0,2; 0,8; 1,5";1;Total;;13;pH; =;8,21;pH;9999999;;2
Station;64000016;RØGBØLLE SØ, NORDB;STO54.35.35, 63;32;665547;6067368;Lolland;Region Sjælland;Sø;Røgbøllesø;01-07-1992;1;Vandkemi, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d75e77cc-d8a9-4bbf-9895-c71a29b705ac;Aktivitetssted;32;665546,9998605691;6067368,003809468;1;1;Enkeltprøve;0,2;0,2;1;Total;;32;Suspenderede stoffer; =;5,7;mg/l;9999999;;2
Station;64000017;RØGBØLLE SØ, SYDB HOVED ST;54.35.10, STO54.35.10, 62;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;21-08-1989;1;Vandkemi, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/857b1a87-7816-482d-8f39-8dae14e68cc6;Aktivitetssted;32;666002,9998601868;6065651,003811634;1;1;Blandingsprøve;0,8333333333333334;"0,2; 0,8; 1,5";1;Total;;185;COD, susp.stof ; =;5;mg/l;9999999;;2
Station;64000016;RØGBØLLE SØ, NORDB;STO54.35.35, 63;32;665547;6067368;Lolland;Region Sjælland;Sø;Røgbøllesø;19-06-1989;1;Vandkemi, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/a9494d58-d1c7-443f-a836-648516007326;Aktivitetssted;32;665546,9998605691;6067368,003809468;1;1;Enkeltprøve;0,2;0,2;1;Total;;253;Nitrogen,total N; =;1,01;mg/l;9999999;;2
Station;64000017;RØGBØLLE SØ, SYDB HOVED ST;54.35.10, STO54.35.10, 62;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;29-04-1986;1;Vandkemi, Sø;Nej;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c23696ec-17a8-44f6-adc2-e264fca51bfa;Aktivitetssted;32;666002,9998601868;6065651,003811634;1;1;Enkeltprøve;0,2;0,2;1;Total;;329;Silicium; =;0,08;mg/l;9999999;;2
Station;64000017;RØGBØLLE SØ, SYDB HOVED ST;54.35.10, STO54.35.10, 62;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;01-06-1988;1;Vandkemi, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/422f941b-398f-4053-bf2d-78039ed1e27d;Aktivitetssted;32;666002,9998601868;6065651,003811634;1;1;Enkeltprøve;0,2;0,2;1;Total;;183;COD, Kemisk iltforbrug; =;36;mg/l;9999999;;2
Station;64000016;RØGBØLLE SØ, NORDB;STO54.35.35, 63;32;665547;6067368;Lolland;Region Sjælland;Sø;Røgbøllesø;18-11-1991;1;Vandkemi, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/77122714-c707-4806-8057-3fab6705bccd;Aktivitetssted;32;665546,9998605691;6067368,003809468;1;1;Enkeltprøve;0,2;0,2;1;Total;;13;pH; =;8,4;pH;9999999;;2
Station;64000017;RØGBØLLE SØ, SYDB HOVED ST;54.35.10, STO54.35.10, 62;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;21-07-2004;1;Vandkemi, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/0977bd14-4f8b-481b-a828-566db1fe6c15;Aktivitetssted;32;666002,9998601868;6065651,003811634;1;1;Blandingsprøve;1,3666666666666665;"2,6; 0,2; 1,3";1;Total;;32;Suspenderede stoffer; =;3,6;mg/l;9999999;;2
Station;64000017;RØGBØLLE SØ, SYDB HOVED ST;54.35.10, STO54.35.10, 62;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;20-09-1994;1;Vandkemi, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/257b29f5-3d0f-4e25-9b16-a1568876f097;Aktivitetssted;32;666002,9998601868;6065651,003811634;1;1;Blandingsprøve;0,8333333333333334;"1,5; 0,2; 0,8";1;Total;;13;pH; =;7,86;pH;9999999;;2
Station;64000016;RØGBØLLE SØ, NORDB;STO54.35.35, 63;32;665547;6067368;Lolland;Region Sjælland;Sø;Røgbøllesø;18-09-1989;1;Vandkemi, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/6363898f-894d-4954-b996-2c54fa8308e3;Aktivitetssted;32;665546,9998605691;6067368,003809468;1;1;Enkeltprøve;0,2;0,2;1;Total;;241;Ammoniak+ammonium-N; =;0,012;mg/l;9999999;;2
Station;64000017;RØGBØLLE SØ, SYDB HOVED ST;54.35.10, STO54.35.10, 62;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;25-03-1986;1;Vandkemi, Sø;Nej;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/00888641-c4d1-4457-aa0d-54e986c6bf24;Aktivitetssted;32;666002,9998601868;6065651,003811634;1;1;Enkeltprøve;0,2;0,2;1;Total;;261;Phosphor, total-P; =;0,065;mg/l;9999999;;2
Station;64000017;RØGBØLLE SØ, SYDB HOVED ST;54.35.10, STO54.35.10, 62;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;19-08-1986;1;Vandkemi, Sø;Nej;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/6454d7e6-f4b2-44f2-8e35-6130391f8806;Aktivitetssted;32;666002,9998601868;6065651,003811634;1;1;Enkeltprøve;0,2;0,2;1;Total;;329;Silicium; =;0,43;mg/l;9999999;;2
Station;64000017;RØGBØLLE SØ, SYDB HOVED ST;54.35.10, STO54.35.10, 62;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;19-06-2014;1;Vandkemi, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d6aea105-f15f-4d30-84b6-85cb1ee2d0e9;Aktivitetssted;32;666002,9998601868;6065651,003811634;1;1;Blandingsprøve;1,4666666666666668;"2,6; 1,6; 0,2";1;Total;;32;Suspenderede stoffer; =;6,7;mg/l;0,5;;3
Station;64000016;RØGBØLLE SØ, NORDB;STO54.35.35, 63;32;665547;6067368;Lolland;Region Sjælland;Sø;Røgbøllesø;02-10-1989;1;Vandkemi, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/67ba375f-9a88-4f83-9236-802f9696924e;Aktivitetssted;32;665546,9998605691;6067368,003809468;1;1;Enkeltprøve;0,2;0,2;1;Total;;1038;Chlorophyl A; =;9,8;µg/l;9999999;;2
Station;64000017;RØGBØLLE SØ, SYDB HOVED ST;54.35.10, STO54.35.10, 62;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;18-10-1990;1;Vandkemi, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d60b08cf-3475-47e4-93c5-b5b16a30b1a5;Aktivitetssted;32;666002,9998601868;6065651,003811634;1;1;Blandingsprøve;1,0666666666666667;"2; 1; 0,2";1;Total;;329;Silicium; =;0,44;mg/l;9999999;;2
Station;64000017;RØGBØLLE SØ, SYDB HOVED ST;54.35.10, STO54.35.10, 62;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;08-02-1993;1;Vandkemi, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/a2a5b058-d859-4834-a933-2c3795d6a202;Aktivitetssted;32;666002,9998601868;6065651,003811634;1;1;Blandingsprøve;0,8166666666666668;"0,75; 1,5; 0,2";1;Opløst - filtrat fra filtrering;;256;Ortho-phosphat-P; =;0,005;mg/l;9999999;;2
Station;64000017;RØGBØLLE SØ, SYDB HOVED ST;54.35.10, STO54.35.10, 62;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;17-11-1997;1;Vandkemi, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/0a92367a-8fb7-4f0f-aee4-f86408b15e7c;Aktivitetssted;32;666002,9998601868;6065651,003811634;1;1;Blandingsprøve;0,8333333333333334;"0,8; 0,2; 1,5";1;Total;;32;Suspenderede stoffer; =;2;mg/l;9999999;;2
Station;64000017;RØGBØLLE SØ, SYDB HOVED ST;54.35.10, STO54.35.10, 62;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;16-01-1989;1;Vandkemi, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7ca24bf7-d4f9-4464-9841-fc8a07bd9f4e;Aktivitetssted;32;666002,9998601868;6065651,003811634;1;1;Blandingsprøve;1,0666666666666667;"2; 1; 0,2";1;Opløst - filtrat fra filtrering;;251;Nitrit+nitrat-N; =;0,61;mg/l;9999999;;2
Station;64000017;RØGBØLLE SØ, SYDB HOVED ST;54.35.10, STO54.35.10, 62;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;27-05-2002;1;Vandkemi, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/2810f7fd-b664-4c1e-a8a6-c55a85409df1;Aktivitetssted;32;666002,9998601868;6065651,003811634;1;1;Blandingsprøve;0,8333333333333334;"0,2; 0,8; 1,5";1;Total;;40;Glødetab,susp.stof; =;2,73;mg/l;9999999;;2
Station;64000016;RØGBØLLE SØ, NORDB;STO54.35.35, 63;32;665547;6067368;Lolland;Region Sjælland;Sø;Røgbøllesø;11-03-1992;1;Vandkemi, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/96e8f69d-85fe-42f0-99bb-2891bfea2f3b;Aktivitetssted;32;665546,9998605691;6067368,003809468;1;1;Enkeltprøve;0,2;0,2;1;Total;;329;Silicium; =;0,27;mg/l;9999999;;2
Station;64000017;RØGBØLLE SØ, SYDB HOVED ST;54.35.10, STO54.35.10, 62;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;28-07-1992;1;Vandkemi, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/f30840da-1ddf-44e5-8f1f-b1f4292dba55;Aktivitetssted;32;666002,9998601868;6065651,003811634;1;1;Blandingsprøve;0,8333333333333334;"0,2; 0,8; 1,5";1;Total;;53;Alkalinitet,total TA; =;1,2;mmol/l;9999999;;2
Station;64000017;RØGBØLLE SØ, SYDB HOVED ST;54.35.10, STO54.35.10, 62;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;31-10-1994;1;Vandkemi, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/999bbe28-8a56-42ca-b2ca-b9d86ee0f967;Aktivitetssted;32;666002,9998601868;6065651,003811634;1;1;Blandingsprøve;0,8333333333333334;"0,2; 1,5; 0,8";1;Total;;185;COD, susp.stof ;<;5;mg/l;9999999;;2
Station;64000017;RØGBØLLE SØ, SYDB HOVED ST;54.35.10, STO54.35.10, 62;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;20-09-1990;1;Vandkemi, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/fa9fde10-cda1-420d-bda9-59f8ab90456c;Aktivitetssted;32;666002,9998601868;6065651,003811634;1;1;Blandingsprøve;0,9500000000000001;"0,55; 0,2; 2,1";1;Total;;13;pH; =;8,2;pH;9999999;;2
Station;64000017;RØGBØLLE SØ, SYDB HOVED ST;54.35.10, STO54.35.10, 62;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;19-04-1995;1;Vandkemi, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/b293bbbb-bcc7-4e0d-aa95-efa1eb54c7a0;Aktivitetssted;32;666002,9998601868;6065651,003811634;1;1;Blandingsprøve;0,8333333333333334;"0,8; 1,5; 0,2";1;Total;;185;COD, susp.stof ;<;5;mg/l;9999999;;2
