﻿Stedtype;StedID;Stedtekst;GeoZone;x-koordinat;y-koordinat;Kommune;Region;Medie;Vandområde;Dato;Måling nr;Undersøgelsestype;Undersøgelsesmetode;Undersøgelsesniveau;Søtype/Sønaturtype;Teknisk anvisning;Dataejer;Link;Transekt nummer;Transekt navn;Transekt-start, GeoZone;Transekt-start, x-koordinat;Transekt-start, y-koordinat;Transekt-slut, GeoZone;Transekt-slut, x-koordinat;Transekt-slut, y-koordinat;Punkt nummer;Punkt, GeoZone;Punkt, x-koordinat;Punkt, y-koordinat;Aktivitetssted;Aktiv;Dybde (cm);Arts tom;Taxonkode;Artkode;Art latin;Art;Dækningsgrad;Undervandsplanter, dækningsgrad;Undervandsplanter, gennemsnitshøjde;Trådalger, dækningsgrad;Kvalitetsmærke
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;05-07-2010;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c5eb5e88-654c-4758-925b-df54851c47e1;8;Transektnr 2;32;664565;6067679;32;664573;6067437;3;32;664565;6067629;8_3;Ja;100;Nej;2900500040380;6495;Stuckenia pectinata;Børstebladet vandaks;3 - 26-50 %;3 - 26-50 %;80;0 - 0 %;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;10-07-2007;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7ba65e16-05be-4964-9c02-789c95418726;15;Transektnr 9;32;665306;6067082;32;665648;6067089;7;32;665547;6067087;15_7;Ja;130;Nej;2900700030030;6518;Najas marina;Stor najade;5 - 76-95 %;5 - 76-95 %;30;0 - 0 %;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;17-08-2004;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c14cfcae-3e38-4458-8605-c8f50bc49607;2;Transektnr 10;32;665283;6066784;32;665665;6066792;7;32;665585;6066790;2_7;Ja;110;Ja;;;;;;0 - 0 %;0;0 - 0 %;3
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;05-07-2010;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c5eb5e88-654c-4758-925b-df54851c47e1;7;Transektnr 15;32;665545;6065437;32;666189;6065448;10;32;666171;6065447;7_10;Ja;80;Nej;2900700030030;6518;Najas marina;Stor najade;3 - 26-50 %;3 - 26-50 %;15;0 - 0 %;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;17-08-2004;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c14cfcae-3e38-4458-8605-c8f50bc49607;7;Transektnr 15;32;665545;6065437;32;666189;6065448;11;32;666171;6065447;7_11;Ja;70;Nej;2503550030030;2394;Ceratophyllum demersum;Tornfrøet hornblad;2 - 6-25 %;4 - 51-75 %;50;2 - 6-25 %;3
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;17-08-2004;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c14cfcae-3e38-4458-8605-c8f50bc49607;5;Transektnr 13;32;665158;6065982;32;665842;6065995;7;32;665759;6065993;5_7;Ja;140;Nej;2503550030060;2395;Ceratophyllum submersum;Tornløs hornblad;1 - 1-5 %;5 - 76-95 %;60;0 - 0 %;3
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;17-08-2004;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c14cfcae-3e38-4458-8605-c8f50bc49607;7;Transektnr 15;32;665545;6065437;32;666189;6065448;5;32;665773;6065441;7_5;Ja;210;Nej;2503550030060;2395;Ceratophyllum submersum;Tornløs hornblad;2 - 6-25 %;5 - 76-95 %;80;2 - 6-25 %;3
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;17-08-2004;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c14cfcae-3e38-4458-8605-c8f50bc49607;4;Transektnr 12;32;665344;6066233;32;666067;6066246;5;32;665631;6066237;4_5;Ja;160;Nej;1601010100800;84;Chara globularis;Skør kransnål;1 - 1-5 %;5 - 76-95 %;50;1 - 1-5 %;3
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;18-07-2022;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;3140 - Kransnålalgesø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7ef673f4-bd25-4dee-8d87-7ef9baca1e53;10;Transektnr 4;32;665092;6067931;32;665119;6067314;4;32;665104;6067638;10_4;Ja;130;Nej;2900500040380;6495;Stuckenia pectinata;Børstebladet vandaks;2 - 6-25 %;6 - 96-100 %;15;0 - 0 %;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;17-08-2004;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c14cfcae-3e38-4458-8605-c8f50bc49607;4;Transektnr 12;32;665344;6066233;32;666067;6066246;6;32;665784;6066240;4_6;Ja;170;Nej;2503550030030;2394;Ceratophyllum demersum;Tornfrøet hornblad;1 - 1-5 %;3 - 26-50 %;30;0 - 0 %;3
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;10-07-2007;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7ba65e16-05be-4964-9c02-789c95418726;14;Transektnr 8;32;666218;6067608;32;666223;6067270;6;32;666222;6067395;14_6;Ja;140;Nej;1601010100000;77;Chara;Kransnålealgeslægten;4 - 51-75 %;4 - 51-75 %;20;0 - 0 %;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;14-07-2016;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;3100 - Andet;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/9564b861-2d9a-4b77-8c33-c5d69f7d6df9;2;Transektnr 10;32;665283;6066784;32;665665;6066792;7;32;665585;6066790;2_7;Ja;90;Nej;2900500040380;6495;Stuckenia pectinata;Børstebladet vandaks;2 - 6-25 %;4 - 51-75 %;20;0 - 0 %;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;14-07-2016;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;3100 - Andet;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/9564b861-2d9a-4b77-8c33-c5d69f7d6df9;13;Transektnr 7;32;665898;6067531;32;665902;6067308;5;32;665899;6067414;13_5;Ja;120;Nej;2900700030030;6518;Najas marina;Stor najade;3 - 26-50 %;3 - 26-50 %;15;0 - 0 %;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;18-07-2022;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;3140 - Kransnålalgesø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7ef673f4-bd25-4dee-8d87-7ef9baca1e53;15;Transektnr 9;32;665306;6067082;32;665648;6067089;1;32;665306;6067082;15_1;Ja;0;Ja;;;;;;0 - 0 %;0;0 - 0 %;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;10-07-2007;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7ba65e16-05be-4964-9c02-789c95418726;13;Transektnr 7;32;665898;6067531;32;665902;6067308;5;32;665899;6067414;13_5;Ja;150;Nej;2900700030030;6518;Najas marina;Stor najade;6 - 96-100 %;6 - 96-100 %;30;0 - 0 %;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;17-08-2004;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c14cfcae-3e38-4458-8605-c8f50bc49607;11;Transektnr 5;32;665370;6067635;32;665380;6067205;1;32;665370;6067635;11_1;Ja;30;Nej;2503550030030;2394;Ceratophyllum demersum;Tornfrøet hornblad;1 - 1-5 %;1 - 1-5 %;20;1 - 1-5 %;3
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;17-08-2004;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c14cfcae-3e38-4458-8605-c8f50bc49607;10;Transektnr 4;32;665092;6067931;32;665119;6067314;6;32;665117;6067337;10_6;Ja;220;Ja;;;;;;0 - 0 %;0;0 - 0 %;3
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;10-07-2007;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7ba65e16-05be-4964-9c02-789c95418726;7;Transektnr 15;32;665545;6065437;32;666189;6065448;2;32;665576;6065438;7_2;Ja;130;Nej;2900500030810;6473;Potamogeton pusillus;Spinkel vandaks;1 - 1-5 %;2 - 6-25 %;30;0 - 0 %;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;10-07-2007;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7ba65e16-05be-4964-9c02-789c95418726;3;Transektnr 11;32;665279;6066541;32;665973;6066553;5;32;665391;6066543;3_5;Ja;170;Nej;2900700030030;6518;Najas marina;Stor najade;1 - 1-5 %;3 - 26-50 %;30;0 - 0 %;2
